username,role,password,strength_label,crack_time_seconds
admin1,admin,"AZX]p{""-I/fEOVZMoT",strong,100000000.0000000001
user1,user,buy189!,weak,0.000875
user2,user,tree601#,weak,0.001785
user3,user,N/#MtZ2MG9TH$LQ,strong,100000.0000000001
user4,user,yet925,weak,0.0000488
user5,user,now128,weak,0.000011
user6,user,blue489,weak,0.00004895093333333333293921896256
user7,user,majority857#,weak,0.001401
user8,user,Mlc^;d2/,weak,0.0100000001
user9,user,E>Yehr2COEd@<n(<,strong,1000000.0000000001
user10,user,career598,weak,0.00002294677333333333315295021748
user11,user,medical773#,weak,0.001057
user12,user,"8V&\=,N})Ud|?1cb",strong,1000000.0000000001
user13,user,5o?$-E^0g{Av^qk%^v,strong,100000000.0000000001
user14,user,HcKYOdZs.*yGW,strong,1000.0000000001
user15,user,fall834@,weak,0.001075
user16,user,8>Q2MET2ehCb|xwAc,strong,10000000.0000000001
user17,user,EGnx#\u$krjbuS,strong,10000.0000000001
user18,user,Nl~AHhz&\yM,strong,10.0000000001
user19,user,painting242@,weak,0.002491
user20,user,-\JJ8&r6aFz,strong,10.0000000001
user21,user,money2#,weak,0.00000384
user22,user,but880,weak,0.000011
user23,user,rhy#~cQDn,medium,0.1000000001
user24,user,recent341#,weak,0.001349
user25,user,home896!,weak,0.000291
user26,user,6yRSOqRm,weak,0.0100000001
user27,user,"rGmY^+E)614!I,",strong,10000.0000000001
user28,user,49v\TJk{jIEmdq~Pd?B,strong,1000000000.0000000001
user29,user,visit584@,weak,0.0011322
user30,user,produce431!,weak,0.001865
user31,user,1^*(GA{t0l`}H^`mr,strong,10000000.0000000001
user32,user,fact743#,weak,0.000601
user33,user,qQKaolpXc8zJ?1`2`F,strong,100000000.0000000001
user34,user,kE(!Y)M(T,medium,0.1000000001
user35,user,]K~_IgVtCh!vo95q,strong,1000000.0000000001
user36,user,"d?>1rA*:5f`^[,>|U8vh",strong,10000000000.0000000001
user37,user,respond450@,weak,0.004009
user38,user,M)29+0ELX,medium,0.1000000001
user39,user,%RYylJ@JU0v3SyO,strong,100000.0000000001
user40,user,point646#,weak,0.000533
user41,user,"NDFWFzn%+Gp5""OR5AZ",strong,100000000.0000000001
user42,user,"(CJSr'""Ei}",medium,1.0000000001
user43,user,|H^E-/9c,weak,0.0100000001
user44,user,thus456@,weak,0.000897
user45,user,Nk2|]?Hww=4g,strong,100.0000000001
user46,user,FWuun{DRBzt',strong,100.0000000001
user47,user,^RlNY\C5,weak,0.0100000001
user48,user,":Bo;A{Xhz8r,",strong,100.0000000001
user49,user,wife676,weak,0.0000528
user50,user,within381@,weak,0.000357
user51,user,clearly778@,weak,0.002211
user52,user,wkw?maIW:&[Aj*,strong,10000.0000000001
user53,user,"UGqE?RK,[:I>8/",strong,10000.0000000001
user54,user,become614@,weak,0.000557
user55,user,first963,weak,0.0000015
user56,user,qhFjIrmDc}/K:4,strong,10000.0000000001
user57,user,fall829#,weak,0.001075
user58,user,ok741#,weak,0.0001000001
user59,user,important83#,weak,0.0000618
user60,user,BFk7LCd7odi+]ED,strong,100000.0000000001
user61,user,@?@U>Zs)De?K`*e,strong,100000.0000000001
user62,user,Nz)8T|`!lYmFm->r,strong,1000000.0000000001
user63,user,6I!m.|}vhsW,strong,10.0000000001
user64,user,light755,weak,0.0000844
user65,user,former747#,weak,0.000327
user66,user,I6Ts5`RVgMrD\/h?N,strong,10000000.0000000001
user67,user,A[.QR\AI.,medium,0.1000000001
user68,user,^QE.kTp>R[.p[,strong,1000.0000000001
user69,user,less117@,weak,0.000853
user70,user,take919!,weak,0.000139
user71,user,area868@,weak,0.000197
user72,user,put188!,weak,0.000259
user73,user,>M4q$JCKsGaiLLVqQ,strong,9300000.01
user74,user,concern98#,weak,0.0002144
user75,user,6x]U<KWc),medium,0.1000000001
