password,strength_label,crack_time_seconds
treatment916!,weak,0.001931
cell581#,weak,0.0005054
most218,weak,0.0000112
>.{Qyb%Bxae4Hu?~,strong,1000000.0000000001
K.v>deU{>-CpenlQxG,strong,100000000.0000000001
simple34,weak,0.00000553
"\Vw2+4@,18KIg-|",strong,100000.0000000001
kid602#,weak,0.000615
"e%!6('x;pmlp0a=,$L",strong,100000000.0000000001
H-m/QliZyB**o?s*+~,strong,100000000.0000000001
color803#,weak,0.002053
5t=mR;wlA)QSNQ]hZ-U,strong,1000000000.0000000001
?v)eH]p`b&|G0nZ,strong,100000.0000000001
thought329@,weak,0.000205
read109,weak,0.0000738
O+(o[Awk85>:(rd/,strong,1000000.0000000001
VX)E@?hK,weak,0.0100000001
dBOqYvf?8,medium,0.1000000001
<w6j;s^{MU/6g<),strong,100000.0000000001
jj%PpL+AAf+=b--q,strong,1000000.0000000001
paper151,weak,0.0001149756799999999990632204572
Republican716#,weak,0.003849
!nsjJf&YA(,medium,1.0000000001
F9-6$Rs<ijw:{S,strong,10000.0000000001
M_'&WT)SIgr*g>t,strong,100000.0000000001
hair349#,weak,0.000949
"4io,)=fKCoGvL@",strong,10000.0000000001
forget468#,weak,0.000507
herself448,weak,0.0001282
thing869,weak,0.00001667626666666666653782158392
"squf;ZL>g)Y{,3V*",strong,1000000.0000000001
manage926@,weak,0.002731
4zcQ@P!4+,medium,0.1000000001
m9v06bVB,weak,0.0100000001
conference800@,weak,0.001025
commercial422!,weak,0.001229
because399!,weak,0.000135
treatment553,weak,0.000194
"Sa;G;b<(""""p{[Xj2Q",strong,10000000.0000000001
society851#,weak,0.000613
kt4F'/u[Z|yw&Qdvvo.,strong,1000000000.0000000001
agreement845@,weak,0.001973
"wr#,knB{wd.91`}*oTY",strong,1000000000.0000000001
part590@,weak,0.000145
seven246,weak,0.00000506
Wure_!s;?x#8,strong,100.0000000001
western308!,weak,0.000525
"?0>O-N%,l#/",strong,10.0000000001
$AHVT[Gg2I)SNp_O,strong,1000000.0000000001
capital642!,weak,0.000951
"]^tw*'6F{;KH""0",strong,10000.0000000001
;M.W}iYe:1{b/_]GwM,strong,100000000.0000000001
toward146,weak,0.0002968
author389,weak,0.0001324
since565!,weak,0.000207
learn41#,weak,0.000116
u[4lfm=9,weak,0.0100000001
force314!,weak,0.000587
T{n'etlDlCc/S-w01kj,strong,1000000000.0000000001
"d;;0T*p""~AyL#j",strong,10000.0000000001
@<!n=Jvl*K),strong,10.0000000001
zVbEP/{3P/,medium,1.0000000001
CN@kXsX/KB$,strong,10.0000000001
move833#,weak,0.000527
1PZ:z$?yN^,medium,1.0000000001
"]1FjAx`5HEJ""Um?&N<{j",strong,8640000000.01
9779c)XQc^uk^)0i}T,strong,100000000.0000000001
us790@,weak,0.0001000001
for610!,weak,0.000101
goal942@,weak,0.001213
c}h4$;r:hO,medium,0.586
`7{]1{Lzov)W,strong,100.0000000001
"L);Y/""xOX5i1J.",strong,10000.0000000001
=E!MXDsGS,medium,0.1000000001
suffer393!,weak,0.002905
vote441,weak,0.0001862
9TL}*cbIW>,medium,1.0000000001
remain596@,weak,0.000293
ETEFq%7IX]tg]S,strong,10000.0000000001
boy830#,weak,0.000447
0&l\H~Hvord?Byn,strong,100000.0000000001
effect438@,weak,0.001571
mother118!,weak,0.000307
H>UPRbB!c@fhc45$#,strong,10000000.0000000001
N#C6cSd\+*(,strong,10.0000000001
campaign425!,weak,0.001003
feel81@,weak,0.0000254
brother610!,weak,0.000589
building146#,weak,0.000383
]x>Gj'wrKaKU,strong,100.0000000001
#V^Ui!JA!),medium,1.0000000001
draw94#,weak,0.0000266
two201#,weak,0.000101
blue631,weak,0.000053
w&EEXFi\#Y,medium,1.0000000001
friend156@,weak,0.000407
;+hY'}$L!1JJt4e\Ob?,strong,1000000000.0000000001
k8|DpA4'AlBX8ED.4(^o,strong,10000000000.0000000001
outside210@,weak,0.000889
bill287#,weak,0.000309
Y(_Bc#>y^$0fol!j6,strong,10000000.0000000001
xS8K+=`R={B5?,strong,1000.0000000001
>Zhf`HQTcw^qq,strong,1000.0000000001
"wFX3""iZiAl,E{P(",strong,100000.0000000001
ZyeOD!N<58%FfAT+\o,strong,100000000.0000000001
how820@,weak,0.000101
6p6?~C._~,medium,0.1000000001
"//#""HER>",weak,0.0100000001
walk81!,weak,0.0000678
"~:""7amIiV=zuf>]G",strong,1000000.0000000001
drive300!,weak,0.000999
GgQy1.>:U3oaIX}t,strong,1000000.0000000001
area581#,weak,0.0001442
boy524#,weak,0.0001894
&MnVT0OW`?e\DXp2$/+,strong,1000000000.0000000001
^Boo]]q93Vfn9`],strong,100000.0000000001
drive212#,weak,0.000999
